Parameter	Minimum_value	Maximum_Value	Regulation_type
Prod_of_GRHL2	1.000000	100.000000	0
Prod_of_ZEB	10.000000	1000.000000	0
Prod_of_miR200	1.000000	100.000000	0
Prod_of_SLUG	1.000000	100.000000	0
Deg_of_GRHL2	0.100000	1.000000	0
Deg_of_ZEB	0.100000	1.000000	0
Deg_of_miR200	0.100000	1.000000	0
Deg_of_SLUG	0.100000	1.000000	0
Trd_of_ZEBToGRHL2	0.021903	2.168370	0
Num_of_ZEBToGRHL2	12.000000	21.000000	0
Inh_of_ZEBToGRHL2	1.000000	100.000000	2
Trd_of_GRHL2ToZEB	0.345078	34.162766	0
Num_of_GRHL2ToZEB	12.000000	21.000000	0
Inh_of_GRHL2ToZEB	1.000000	100.000000	2
Trd_of_miR200ToZEB	0.042175	4.175345	0
Num_of_miR200ToZEB	12.000000	21.000000	0
Inh_of_miR200ToZEB	1.000000	100.000000	2
Trd_of_SLUGToZEB	0.531405	52.609136	0
Num_of_SLUGToZEB	12.000000	21.000000	0
Act_of_SLUGToZEB	1.000000	100.000000	1
Trd_of_ZEBToZEB	0.021903	2.168370	0
Num_of_ZEBToZEB	12.000000	21.000000	0
Act_of_ZEBToZEB	1.000000	100.000000	1
Trd_of_ZEBTomiR200	0.021903	2.168370	0
Num_of_ZEBTomiR200	12.000000	21.000000	0
Inh_of_ZEBTomiR200	1.000000	100.000000	2
Trd_of_SLUGTomiR200	0.531405	52.609136	0
Num_of_SLUGTomiR200	12.000000	21.000000	0
Inh_of_SLUGTomiR200	1.000000	100.000000	2
Trd_of_SLUGToSLUG	0.531405	52.609136	0
Num_of_SLUGToSLUG	12.000000	21.000000	0
Act_of_SLUGToSLUG	1.000000	100.000000	1
