Parameter,nState,Avg,Std,HillRange
nState,1,0.045760698129582174,0.001266076890353796,1-10
nState,2,0.1400359365186894,0.003928625753084774,1-10
nState,3,0.6172713381976351,0.01896906907136307,1-10
Phase,1,0.0476072619049956,0.0010524788648543367,1-10
Phase,2,0.14558351834266342,0.004418816000309496,1-10
Phase,3,0.6247157013643944,0.01837045599827437,1-10
monoMulti,1,0.032564549602143,0.00437524800799224,11-20
monoMulti,2,0.031267343556934,3.870428952636595e-4,11-20
monoMulti,3,0.004950534264073233,8.266995730717007e-4,11-20
nState,1,0.03256454960214299,0.004375248007992235,11-20
nState,2,0.03805446560776248,0.0012427171070238951,11-20
nState,3,0.29660775011425067,6.39745695734559e-4,11-20
Phase,1,0.03298835420719993,0.0044619439517582645,11-20
Phase,2,0.040366042064130074,0.001304360347211791,11-20
Phase,3,0.29836013486415014,0.0012919119675842555,11-20
monoMulti,1,0.025667348579991152,0.0025194941077185465,21-30
monoMulti,2,0.018774063484894677,0.0017953496756644822,21-30
monoMulti,3,0.0023181314447146668,4.106769939566209e-4,21-30
nState,1,0.025667348579991152,0.0025194941077185465,21-30
nState,2,0.024655945283690073,0.0023483574579146902,21-30
nState,3,0.21557337061691556,0.00821995821211906,21-30
Phase,1,0.025875964433578178,0.0025321263587737386,21-30
Phase,2,0.026134194084253333,0.0025351520690289585,21-30
Phase,3,0.21582282763032265,0.008391210214104246,21-30
monoMulti,1,0.01854659548894792,0.0014903001868775646,31-40
monoMulti,2,0.018160018606847756,5.597894500955237e-4,31-40
monoMulti,3,0.0011399735280650353,3.081296450162454e-4,31-40
nState,1,0.01854659548894792,0.0014903001868775646,31-40
nState,2,0.022855672996865882,4.715747676563602e-4,31-40
nState,3,0.18092980435739708,0.004784425081698547,31-40
Phase,1,0.01864962092288675,0.0015082797093558162,31-40
Phase,2,0.024037446415403108,4.3055186599597485e-4,31-40
Phase,3,0.18102866632491615,0.004880033157886793,31-40
monoMulti,1,0.017175332832050978,0.0026724289010799677,41-50
monoMulti,2,0.015263445105485423,0.0015134517864607681,41-50
monoMulti,3,9.309346726353311e-4,4.1014067837326774e-4,41-50
nState,1,0.017175332832050978,0.0026724289010799677,41-50
nState,2,0.019460156032557324,0.0015013548311003369,41-50
nState,3,0.16338950690644363,0.008290764225483062,41-50
Phase,1,0.017297657004030822,0.002673361867601819,41-50
Phase,2,0.020277577050425648,0.0015568022747526236,41-50
Phase,3,0.16368256385120608,0.008350745207632505,41-50
monoMulti,1,0.012837328364731304,9.356330061614238e-4,51-60
monoMulti,2,0.012665485565736389,9.649268019828494e-4,51-60
monoMulti,3,7.40420270597202e-4,4.271067485083779e-4,51-60
nState,1,0.012837328364731304,9.356330061614238e-4,51-60
nState,2,0.016236805640574378,0.0011409759148649275,51-60
nState,3,0.1457004495199822,0.005598922131595927,51-60
Phase,1,0.012874384276805017,9.517459029599663e-4,51-60
Phase,2,0.01707169672034002,0.0013002705713313816,51-60
Phase,3,0.14637883147739839,0.005095110268009135,51-60
monoMulti,1,0.009913812719121404,4.454988110303774e-4,61-70
monoMulti,2,0.01158912949922541,9.698186618360209e-4,61-70
monoMulti,3,8.456409670867956e-4,4.864758695072064e-4,61-70
nState,1,0.009913812719121404,4.454988110303774e-4,61-70
nState,2,0.015056574521789576,0.00100304118040367,61-70
nState,3,0.1384330465024933,0.014700082203084348,61-70
Phase,1,0.009944381856885594,4.4274870066466455e-4,61-70
Phase,2,0.015810360980919095,8.837999742191627e-4,61-70
Phase,3,0.1391283025510999,0.014767217659588718,61-70
monoMulti,1,0.009283380878898184,0.001772758764702753,71-80
monoMulti,2,0.010563693896749684,1.8531969276544536e-4,71-80
monoMulti,3,0,0,71-80
nState,1,0.009283380878898184,0.001772758764702753,71-80
nState,2,0.013241806760846892,8.953141407592468e-5,71-80
nState,3,0.1306126140765104,0.008305055804897219,71-80
Phase,1,0.009311204118815704,0.0017873354847457385,71-80
Phase,2,0.013832448984495137,1.2088967499411281e-4,71-80
Phase,3,0.13181829147162202,0.008631592715795814,71-80
monoMulti,1,0.009368091189600972,0.001485515960900805,81-90
monoMulti,2,0.011306000660321886,7.792690059112998e-4,81-90
monoMulti,3,4.912277024754098e-4,1.7855355736398607e-4,81-90
nState,1,0.009368091189600972,0.001485515960900805,81-90
nState,2,0.01426575617126521,0.0011040201467818684,81-90
nState,3,0.1202699474977842,0.004843888991189662,81-90
Phase,1,0.009409129386314347,0.0015071044788633327,81-90
Phase,2,0.015086839218705453,0.0013720246082451694,81-90
Phase,3,0.12179345046159099,0.004755891114328809,81-90
monoMulti,1,0.00853219459808625,9.073282552009096e-4,91-100
monoMulti,2,0.00976601107346149,0.0016476027449576515,91-100
monoMulti,3,2.8020270667994e-4,2.7761776306956985e-4,91-100
nState,1,0.00853219459808625,9.073282552009096e-4,91-100
nState,2,0.011992785465139476,0.001819872773341052,91-100
nState,3,0.11388744556556259,0.005319655008570717,91-100
Phase,1,0.008575356559911127,8.795936409979711e-4,91-100
Phase,2,0.012740797963362914,0.001986572413963599,91-100
Phase,3,0.11517732201672475,0.00520411299446908,91-100
